,location,bath,price,total_sqft_float,bhk
1316,Dodda Nekkundi,2.0,71.0,1252.0,3.0
1317,Dodda Nekkundi,2.0,45.0,1128.0,2.0
1318,Dodda Nekkundi,2.0,56.0,1148.0,2.0
1319,Dodda Nekkundi,3.0,125.0,1829.0,2.0
1320,Dodda Nekkundi,2.0,41.16,1100.0,2.0
1321,Dodda Nekkundi,2.0,58.0,1135.0,4.0
1322,Dodda Nekkundi,2.0,41.18,1100.0,1.0
1323,Dodda Nekkundi,2.0,60.0,1370.0,1.0
1324,Doddakallasandra,2.0,40.39,1010.0,3.0
1325,Doddakallasandra,2.0,54.39,1360.0,2.0
1326,Doddakallasandra,2.0,58.39,1460.0,3.0
1327,Doddakallasandra,2.0,54.4,1360.0,3.0
1328,Doddakallasandra,2.0,56.99,1425.0,4.0
1329,Doddakallasandra,2.0,42.87,1072.0,4.0
1330,Doddakallasandra,2.0,40.4,1010.0,2.0
1331,Doddakallasandra,2.0,41.0,1010.0,2.0
1332,Doddakallasandra,2.0,42.87,1072.0,3.0
1333,Doddathoguru,2.0,33.0,970.0,2.0
1334,Doddathoguru,2.0,42.0,1030.0,3.0
1335,Doddathoguru,3.0,65.0,1549.0,2.0
1336,Doddathoguru,2.0,33.5,1015.0,2.0
1337,Doddathoguru,2.0,32.0,915.0,2.0
1338,Doddathoguru,1.0,25.5,750.0,2.0
1339,Doddathoguru,3.0,62.0,1595.0,1.0
1340,Doddathoguru,2.0,32.0,855.0,2.0
1341,Doddathoguru,2.0,50.0,1105.0,2.0
1342,Doddathoguru,2.0,42.0,1300.0,2.0
1343,Doddathoguru,2.0,50.0,1100.0,2.0
1344,Doddathoguru,2.0,32.9,940.0,4.0
1345,Doddathoguru,3.0,65.0,1382.0,2.0
1346,Doddathoguru,2.0,44.0,1107.0,4.0
1347,Doddathoguru,2.0,40.0,907.0,2.0
1348,Doddathoguru,3.0,85.0,1783.0,4.0
1349,Doddathoguru,1.0,17.0,550.0,2.0
1350,Domlur,3.0,90.0,1540.0,2.0
1351,Domlur,2.0,150.0,1875.0,2.0
1352,Domlur,3.0,86.0,1429.0,2.0
1353,Domlur,1.0,55.0,640.0,3.0
1354,Domlur,3.0,150.0,1800.0,3.0
1355,Domlur,3.0,135.0,1720.0,2.0
1356,Domlur,3.0,165.0,1950.0,2.0
1357,Domlur,3.0,285.0,2180.0,3.0
1358,Domlur,1.0,70.0,650.0,3.0
1359,Domlur,1.0,70.0,780.0,2.0
1360,Domlur,3.0,285.0,2180.0,2.0
1361,Domlur,3.0,125.0,1695.0,5.0
1362,Domlur,2.0,80.0,1276.0,2.0
1363,Domlur,3.0,180.0,1850.0,2.0
1364,Domlur,3.0,180.0,1650.0,3.0
1365,Dommasandra,2.0,22.14,805.0,2.0
1366,Dommasandra,2.0,25.53,1033.0,3.0
1367,Dommasandra,3.0,56.0,1267.0,3.0
1368,Dommasandra,2.0,50.0,1200.0,3.0
1369,Dommasandra,3.0,68.0,2700.0,2.0
1370,Dommasandra,2.0,31.5,1033.0,2.0
1371,Dommasandra,2.0,43.5,1153.0,4.0
1372,Dommasandra,2.0,40.0,1500.0,3.0
1373,Dommasandra,2.0,43.5,1090.0,1.0
1374,Dommasandra,2.0,25.4,850.0,3.0
1375,Dommasandra,1.0,19.9,674.0,3.0
1376,Dommasandra,2.0,32.9,999.0,2.0
1377,EPIP Zone,5.0,102.0,1499.0,2.0
1378,EPIP Zone,2.0,82.0,1285.0,2.0
1379,EPIP Zone,3.0,162.0,2330.0,2.0
1380,EPIP Zone,2.0,92.5,1330.0,3.0
1381,EPIP Zone,2.0,93.36,1330.0,2.0
1382,EPIP Zone,5.0,200.0,3035.0,2.0
1383,EPIP Zone,3.0,102.0,1500.0,2.0
1384,EPIP Zone,2.0,65.0,1125.0,2.0
1385,EPIP Zone,3.0,125.0,1734.0,4.0
1386,EPIP Zone,5.0,225.0,3360.0,5.0
1387,EPIP Zone,2.0,86.0,1343.0,2.0
1388,EPIP Zone,4.0,163.0,2350.0,2.0
1389,EPIP Zone,3.0,130.0,1860.0,2.0
1390,EPIP Zone,3.0,165.0,2210.0,2.0
1391,EPIP Zone,5.0,221.0,3360.0,2.0
1392,Electronic City,2.0,47.0,1025.0,2.0
1393,Electronic City,2.0,60.0,1060.0,2.0
1394,Electronic City,2.0,64.5,1152.0,3.0
1395,Electronic City,1.0,36.0,770.0,3.0
1396,Electronic City,2.0,52.0,1070.0,2.0
1397,Electronic City,2.0,46.0,1025.0,3.0
1398,Electronic City,1.0,27.0,589.0,3.0
1399,Electronic City,2.0,40.0,910.0,2.0
1400,Electronic City,2.0,63.0,1108.0,3.0
1401,Electronic City,2.0,65.0,1128.0,1.0
1402,Electronic City,3.0,95.0,1800.0,4.0
1403,Electronic City,1.0,34.65,630.0,3.0
1404,Electronic City,2.0,63.0,1128.0,4.0
1405,Electronic City,3.0,99.0,1599.0,3.0
1406,Electronic City,2.0,55.0,1070.0,5.0
1407,Electronic City,2.0,41.0,940.0,4.0
1408,Electronic City,2.0,68.75,1128.0,2.0
1409,Electronic City,2.0,73.3,1342.0,3.0
1410,Electronic City,2.0,71.0,1360.0,2.0
1411,Electronic City,2.0,56.93,1265.0,3.0
1412,Electronic City,2.0,102.0,1691.0,2.0
1413,Electronic City,2.0,65.49,1128.0,3.0
1414,Electronic City,2.0,56.1,1070.0,4.0
1415,Electronic City,4.0,120.0,2000.0,2.0
1416,Electronic City,2.0,45.0,890.0,2.0
1417,Electronic City,2.0,65.65,1128.0,2.0
1418,Electronic City,2.0,42.0,865.0,2.0
1419,Electronic City,2.0,42.0,910.0,3.0
1420,Electronic City,2.0,75.0,1360.0,2.0
1421,Electronic City,1.0,40.0,770.0,2.0
1422,Electronic City,2.0,64.0,1128.0,3.0
1423,Electronic City,2.0,54.0,1070.0,3.0
1424,Electronic City,1.0,15.0,550.0,1.0
1425,Electronic City,3.0,89.0,1571.0,2.0
1426,Electronic City,3.0,50.0,1111.0,2.0
1427,Electronic City,2.0,39.5,870.0,3.0
1428,Electronic City,2.0,72.0,1374.0,3.0
1429,Electronic City,2.0,65.35,1128.0,2.0
1430,Electronic City,2.0,65.0,1128.0,3.0
1431,Electronic City,1.0,34.0,755.0,2.0
1432,Electronic City,3.0,91.84,1563.0,3.0
1433,Electronic City,2.0,54.5,1025.0,5.0
1434,Electronic City,3.0,58.0,1350.0,3.0
1435,Electronic City,3.0,75.0,1700.0,2.0
1436,Electronic City,2.0,68.0,1128.0,3.0
1437,Electronic City,1.0,35.0,700.0,2.0
1438,Electronic City,3.0,105.0,1571.0,3.0
1439,Electronic City,3.0,104.0,1600.0,1.0
1440,Electronic City,2.0,100.0,1500.0,2.0
1441,Electronic City,2.0,65.0,1152.0,2.0
1442,Electronic City,2.0,60.0,1070.0,2.0
1443,Electronic City,2.0,65.5,1128.0,4.0
1444,Electronic City,2.0,59.0,1200.0,3.0
1445,Electronic City,2.0,65.75,1152.0,3.0
1446,Electronic City,2.0,55.0,1070.0,2.0
1447,Electronic City,2.0,58.0,1060.0,3.0
1448,Electronic City,2.0,54.1,1025.0,2.0
1449,Electronic City,2.0,78.0,1500.0,2.0
1450,Electronic City,2.0,59.32,1213.0,4.0
1451,Electronic City,3.0,90.0,1575.0,3.0
1452,Electronic City,3.0,100.0,1449.0,2.0
1453,Electronic City,3.0,101.0,1575.0,3.0
1454,Electronic City,2.0,40.0,919.0,3.0
1455,Electronic City,2.0,78.25,1500.0,3.0
1456,Electronic City,2.0,79.0,1363.0,5.0
1457,Electronic City,2.0,67.15,1108.0,2.0
1458,Electronic City,2.0,65.7,1128.0,2.0
1459,Electronic City,2.0,51.0,1060.0,2.0
1460,Electronic City,3.0,100.0,1650.0,4.0
1461,Electronic City,2.0,49.0,1025.0,2.0
1462,Electronic City,3.0,90.0,1449.0,2.0
1463,Electronic City,2.0,58.0,1070.0,2.0
1464,Electronic City,2.0,54.0,1210.0,2.0
1465,Electronic City,2.0,75.0,1500.0,4.0
1466,Electronic City,2.0,52.0,1070.0,3.0
1467,Electronic City,4.0,119.0,2435.0,1.0
1468,Electronic City,2.0,60.0,1073.0,3.0
1469,Electronic City,2.0,78.0,1500.0,1.0
1470,Electronic City,2.0,47.0,1070.0,3.0
1471,Electronic City,2.0,65.0,1296.0,2.0
1472,Electronic City,2.0,70.93,1140.0,3.0
1473,Electronic City,4.0,104.0,2093.0,3.0
1474,Electronic City,2.0,53.9,1025.0,2.0
1475,Electronic City,2.0,54.0,940.0,3.0
1476,Electronic City,1.0,21.0,435.0,3.0
1477,Electronic City,2.0,77.5,1500.0,3.0
1478,Electronic City,3.0,80.0,1631.0,3.0
1479,Electronic City,2.0,67.0,1355.0,3.0
1480,Electronic City,1.0,22.0,435.0,2.0
1481,Electronic City,2.0,50.0,1039.0,3.0
1482,Electronic City,1.0,39.9,770.0,2.0
1483,Electronic City,2.0,64.0,1128.0,3.0
1484,Electronic City,1.0,13.31,605.0,1.0
1485,Electronic City,3.0,83.0,1571.0,3.0
1486,Electronic City,3.0,110.0,1652.0,3.0
1487,Electronic City,2.0,65.58,1128.0,2.0
1488,Electronic City,1.0,28.0,635.0,4.0
1489,Electronic City,2.0,65.4,1128.0,2.0
1490,Electronic City,2.0,72.9,1355.0,3.0
1491,Electronic City,1.0,35.0,770.0,2.0
1492,Electronic City,2.0,40.0,865.0,2.0
1493,Electronic City,2.0,63.0,1108.0,2.0
1494,Electronic City,1.0,40.5,630.0,2.0
1495,Electronic City,2.0,48.0,1070.0,2.0
1496,Electronic City,2.0,70.0,1360.0,3.0
1497,Electronic City,1.0,28.0,635.0,2.0
1498,Electronic City,2.0,65.45,1128.0,3.0
1499,Electronic City,2.0,40.0,890.0,1.0
1500,Electronic City,2.0,35.0,825.0,3.0
1501,Electronic City,1.0,33.7,630.0,3.0
1502,Electronic City,3.0,90.0,1400.0,3.0
1503,Electronic City,2.0,85.5,1258.0,3.0
1504,Electronic City,2.0,85.0,1386.0,3.0
1505,Electronic City,2.0,50.0,1025.0,4.0
1506,Electronic City,2.0,55.0,1070.0,3.0
1507,Electronic City,2.0,72.0,1342.0,2.0
1508,Electronic City,3.0,70.0,1275.0,2.0
1509,Electronic City,1.0,38.0,770.0,2.0
1510,Electronic City,3.0,92.59,1644.0,2.0
1511,Electronic City,2.0,62.0,1250.0,2.0
1512,Electronic City,2.0,64.8,1128.0,2.0
1513,Electronic City,2.0,55.0,1060.0,2.0
1514,Electronic City,1.0,40.42,710.0,2.0
1515,Electronic City,3.0,63.43,1275.0,3.0
1516,Electronic City,3.0,75.0,1518.0,4.0
1517,Electronic City,2.0,55.0,1060.0,4.0
1518,Electronic City,2.0,75.0,1353.0,5.0
1519,Electronic City,2.0,67.0,1128.0,4.0
1520,Electronic City,2.0,57.0,1070.0,3.0
1521,Electronic City,3.0,90.0,1700.0,3.0
1522,Electronic City,1.0,35.0,750.0,4.0
1523,Electronic City,2.0,55.0,1210.0,3.0
1524,Electronic City,2.0,60.0,1070.0,2.0
1525,Electronic City,3.0,97.0,1615.0,2.0
1526,Electronic City,2.0,33.65,1165.0,1.0
1527,Electronic City,2.0,68.0,1221.0,4.0
1528,Electronic City,3.0,73.0,1500.0,1.0
1529,Electronic City,2.0,48.0,995.0,2.0
1530,Electronic City,2.0,90.0,1342.0,3.0
1531,Electronic City,2.0,63.5,1128.0,3.0
1532,Electronic City,1.0,29.0,589.0,2.0
1533,Electronic City,3.0,94.5,1575.0,2.0
1534,Electronic City,2.0,48.0,1070.0,5.0
1535,Electronic City,2.0,54.0,1025.0,5.0
1536,Electronic City,2.0,70.0,1500.0,3.0
1537,Electronic City,2.0,64.5,1500.0,3.0
1538,Electronic City,4.0,134.0,2093.0,3.0
1539,Electronic City,2.0,73.0,1355.0,4.0
1540,Electronic City,2.0,64.99,1360.0,2.0
1541,Electronic City,2.0,52.0,1060.0,3.0
1542,Electronic City Phase II,2.0,39.07,1056.0,2.0
1543,Electronic City Phase II,2.0,30.6,1020.0,2.0
1544,Electronic City Phase II,2.0,45.0,1069.0,4.0
1545,Electronic City Phase II,1.0,28.35,630.0,3.0
1546,Electronic City Phase II,2.0,25.0,1000.0,1.0
1547,Electronic City Phase II,4.0,98.88,2225.0,3.0
1548,Electronic City Phase II,2.0,40.43,1400.0,2.0
1549,Electronic City Phase II,2.0,38.0,775.0,4.0
1550,Electronic City Phase II,2.0,59.0,1266.0,3.0
1551,Electronic City Phase II,3.0,35.23,1220.0,1.0
1552,Electronic City Phase II,2.0,44.0,972.0,2.0
1553,Electronic City Phase II,2.0,40.43,1400.0,2.0
1554,Electronic City Phase II,2.0,55.0,1031.0,4.0
1555,Electronic City Phase II,2.0,40.6,1003.0,3.0
1556,Electronic City Phase II,1.0,27.0,545.0,4.0
1557,Electronic City Phase II,2.0,56.35,1031.0,2.0
1558,Electronic City Phase II,2.0,38.12,1320.0,2.0
1559,Electronic City Phase II,2.0,62.78,1395.0,2.0
1560,Electronic City Phase II,2.0,33.5,1160.0,2.0
1561,Electronic City Phase II,2.0,61.25,1219.0,2.0
1562,Electronic City Phase II,3.0,100.0,1790.0,4.0
1563,Electronic City Phase II,2.0,40.0,769.0,2.0
1564,Electronic City Phase II,2.0,40.43,1400.0,2.0
1565,Electronic City Phase II,2.0,32.5,900.0,3.0
1566,Electronic City Phase II,2.0,41.0,1329.0,2.0
1567,Electronic City Phase II,3.0,35.23,1220.0,2.0
1568,Electronic City Phase II,2.0,50.0,993.0,2.0
1569,Electronic City Phase II,3.0,52.47,1418.0,4.0
1570,Electronic City Phase II,2.0,45.0,1070.0,2.0
1571,Electronic City Phase II,2.0,55.0,1031.0,5.0
1572,Electronic City Phase II,2.0,65.8,1253.0,2.0
1573,Electronic City Phase II,2.0,40.44,1400.0,2.0
1574,Electronic City Phase II,2.0,45.0,975.0,2.0
1575,Electronic City Phase II,2.0,29.25,1125.0,2.0
1576,Electronic City Phase II,2.0,28.88,1000.0,2.0
1577,Electronic City Phase II,2.0,28.88,1000.0,2.0
1578,Electronic City Phase II,2.0,28.88,1000.0,2.0
1579,Electronic City Phase II,2.0,30.29,1165.0,2.0
1580,Electronic City Phase II,2.0,30.88,1065.0,2.0
1581,Electronic City Phase II,3.0,80.0,1549.0,5.0
1582,Electronic City Phase II,2.0,56.13,1065.0,3.0
1583,Electronic City Phase II,2.0,33.84,1140.0,2.0
1584,Electronic City Phase II,2.0,61.26,1219.0,3.0
1585,Electronic City Phase II,2.0,65.0,1252.0,3.0
1586,Electronic City Phase II,2.0,40.0,875.0,2.0
1587,Electronic City Phase II,2.0,69.0,1286.0,2.0
1588,Electronic City Phase II,2.0,40.0,1116.0,2.0
1589,Electronic City Phase II,3.0,46.0,1150.0,2.0
1590,Electronic City Phase II,2.0,47.0,1192.0,2.0
1591,Electronic City Phase II,3.0,50.0,1502.0,2.0
1592,Electronic City Phase II,2.0,32.0,1020.0,2.0
1593,Electronic City Phase II,3.0,97.0,1900.0,2.0
1594,Electronic City Phase II,2.0,27.43,1020.0,2.0
1595,Electronic City Phase II,1.0,29.0,545.0,2.0
1596,Electronic City Phase II,2.0,29.45,1020.0,2.0
1597,Electronic City Phase II,2.0,37.84,1310.0,2.0
1598,Electronic City Phase II,2.0,52.2,1160.0,3.0
1599,Electronic City Phase II,2.0,55.0,1244.0,2.0
1600,Electronic City Phase II,2.0,48.75,1625.0,2.0
1601,Electronic City Phase II,2.0,40.0,972.0,2.0
1602,Electronic City Phase II,2.0,33.51,1160.0,2.0
1603,Electronic City Phase II,2.0,40.45,1400.0,2.0
1604,Electronic City Phase II,2.0,32.92,1140.0,2.0
1605,Electronic City Phase II,2.0,57.0,1155.0,2.0
1606,Electronic City Phase II,3.0,92.0,1800.0,2.0
1607,Electronic City Phase II,4.0,116.0,1940.0,3.0
1608,Electronic City Phase II,2.0,33.5,1160.0,2.0
1609,Electronic City Phase II,2.0,29.6,1025.0,2.0
1610,Electronic City Phase II,2.0,22.8,829.0,1.0
1611,Electronic City Phase II,4.0,105.0,2187.5,3.0
1612,Electronic City Phase II,2.0,67.0,1252.0,3.0
1613,Electronic City Phase II,2.0,38.12,1320.0,2.0
1614,Electronic City Phase II,2.0,32.63,1125.0,2.0
1615,Electronic City Phase II,2.0,37.84,1310.0,2.0
1616,Electronic City Phase II,2.0,40.43,1400.0,2.0
1617,Electronic City Phase II,2.0,65.0,1252.0,2.0
1618,Electronic City Phase II,2.0,46.0,1135.0,3.0
1619,Electronic City Phase II,3.0,65.0,1305.0,3.0
1620,Electronic City Phase II,2.0,33.64,1165.0,2.0
1621,Electronic City Phase II,2.0,50.35,1336.0,3.0
1622,Electronic City Phase II,2.0,49.82,925.0,3.0
1623,Electronic City Phase II,2.0,33.06,1140.0,2.0
1624,Electronic City Phase II,2.0,26.5,911.0,2.0
1625,Electronic City Phase II,2.0,34.65,1200.0,2.0
1626,Electronic City Phase II,2.0,54.48,1031.0,2.0
1627,Electronic City Phase II,1.0,28.0,545.0,3.0
1628,Electronic City Phase II,2.0,37.83,1310.0,2.0
1629,Electronic City Phase II,3.0,49.53,1651.0,1.0
1630,Electronics City Phase 1,3.0,78.29,1475.0,2.0
1631,Electronics City Phase 1,3.0,78.8,1490.0,2.0
1632,Electronics City Phase 1,3.0,84.0,1490.0,2.0
1633,Electronics City Phase 1,2.0,52.0,1160.0,2.0
1634,Electronics City Phase 1,3.0,55.0,1350.0,2.0
1635,Electronics City Phase 1,2.0,56.0,1015.0,3.0
1636,Electronics City Phase 1,3.0,75.0,1595.0,2.0
1637,Electronics City Phase 1,2.0,80.91,1515.0,3.0
1638,Electronics City Phase 1,2.0,46.0,995.0,2.0
1639,Electronics City Phase 1,2.0,82.0,1555.0,2.0
1640,Electronics City Phase 1,2.0,75.0,1340.0,4.0
1641,Electronics City Phase 1,2.0,57.0,1175.0,2.0
1642,Electronics City Phase 1,1.0,42.41,755.0,2.0
1643,Electronics City Phase 1,1.0,27.0,580.0,2.0
1644,Electronics City Phase 1,2.0,49.0,940.0,2.0
1645,Electronics City Phase 1,2.0,67.0,1335.0,3.0
1646,Electronics City Phase 1,2.0,69.0,1175.0,5.0
1647,Electronics City Phase 1,2.0,55.0,1113.12,4.0
1648,Electronics City Phase 1,2.0,42.0,995.0,2.0
1649,Electronics City Phase 1,3.0,71.0,1350.0,2.0
1650,Electronics City Phase 1,2.0,49.8,995.0,2.0
1651,Electronics City Phase 1,2.0,68.0,1190.0,5.0
1652,Electronics City Phase 1,3.0,72.54,1450.0,3.0
1653,Electronics City Phase 1,1.0,16.9,360.0,2.0
1654,Electronics City Phase 1,1.0,32.0,638.0,3.0
1655,Electronics City Phase 1,2.0,64.98,1175.0,1.0
1656,Electronics City Phase 1,1.0,21.0,585.0,2.0
1657,Electronics City Phase 1,2.0,59.76,1200.0,2.0
1658,Electronics City Phase 1,2.0,65.0,1125.0,2.0
1659,Electronics City Phase 1,2.0,82.0,1550.0,2.0
1660,Electronics City Phase 1,1.0,45.4,762.5,2.0
1661,Electronics City Phase 1,2.0,40.0,865.0,2.0
1662,Electronics City Phase 1,3.0,70.0,1450.0,2.0
1663,Electronics City Phase 1,3.0,58.0,1450.0,2.0
1664,Electronics City Phase 1,3.0,93.0,1800.0,3.0
1665,Electronics City Phase 1,2.0,60.0,1314.0,2.0
1666,Electronics City Phase 1,2.0,62.0,1170.0,2.0
1667,Electronics City Phase 1,3.0,79.0,1450.0,3.0
1668,Electronics City Phase 1,2.0,48.0,940.0,1.0
1669,Electronics City Phase 1,2.0,67.0,1300.0,3.0
1670,Electronics City Phase 1,2.0,51.0,1028.0,4.0
1671,Electronics City Phase 1,2.0,60.0,1205.0,2.0
1672,Electronics City Phase 1,3.0,85.0,1900.0,2.0
1673,Electronics City Phase 1,2.0,67.0,1305.0,4.0
1674,Electronics City Phase 1,2.0,60.0,1175.0,3.0
1675,Frazer Town,3.0,180.0,1700.0,5.0
1676,Frazer Town,3.0,185.0,1870.0,2.0
1677,Frazer Town,3.0,200.0,2000.0,2.0
1678,Frazer Town,4.0,330.0,3500.0,2.0
1679,Frazer Town,4.0,285.0,2350.0,1.0
1680,Frazer Town,3.0,265.0,2560.0,3.0
1681,Frazer Town,3.0,260.0,2400.0,2.0
1682,Frazer Town,5.0,410.0,4856.0,2.0
1683,Frazer Town,2.0,140.0,1315.0,2.0
1684,Frazer Town,3.0,154.0,1706.0,2.0
1685,Frazer Town,3.0,220.0,2079.0,2.0
1686,Frazer Town,2.0,341.0,3435.0,2.0
1687,Frazer Town,4.0,325.0,2900.0,2.0
1688,Frazer Town,2.0,120.0,1420.0,2.0
1689,GM Palaya,2.0,86.0,1820.0,2.0
1690,GM Palaya,2.0,47.0,1225.0,2.0
1691,GM Palaya,2.0,48.95,1140.0,2.0
1692,GM Palaya,2.0,65.0,1315.0,2.0
1693,GM Palaya,3.0,65.0,1315.0,2.0
1694,GM Palaya,3.0,64.0,1315.0,2.0
1695,Garudachar Palya,2.0,60.8,1325.0,2.0
1696,Garudachar Palya,2.0,48.7,1060.0,3.0
1697,Garudachar Palya,2.0,52.75,1150.0,2.0
1698,Garudachar Palya,2.0,59.5,1295.0,3.0
1699,Garudachar Palya,2.0,60.6,1320.0,3.0
1700,Garudachar Palya,2.0,59.5,1295.0,2.0
1701,Garudachar Palya,2.0,52.8,1150.0,2.0
1702,Garudachar Palya,2.0,52.8,1150.0,2.0
1703,Garudachar Palya,2.0,48.5,1060.0,2.0
1704,Garudachar Palya,2.0,52.5,1150.0,1.0
1705,Garudachar Palya,2.0,60.8,1325.0,4.0
1706,Garudachar Palya,2.0,48.66,1060.0,3.0
1707,Garudachar Palya,2.0,51.8,1154.0,4.0
1708,Garudachar Palya,2.0,60.0,1325.0,2.0
1709,Giri Nagar,4.0,400.0,2400.0,2.0
1710,Giri Nagar,3.0,252.0,1800.0,2.0
1711,Giri Nagar,3.0,240.0,1350.0,2.0
1712,Giri Nagar,4.0,400.0,2400.0,3.0
1713,Giri Nagar,4.0,175.0,1120.0,2.0
1714,Giri Nagar,3.0,750.0,4000.0,3.0
1715,Giri Nagar,3.0,175.0,1200.0,2.0
1716,Gollarapalya Hosahalli,2.0,34.5,861.0,4.0
1717,Gollarapalya Hosahalli,3.0,62.0,1408.0,2.0
1718,Gollarapalya Hosahalli,2.0,34.5,861.0,3.0
1719,Gollarapalya Hosahalli,3.0,54.0,1318.0,1.0
1720,Gollarapalya Hosahalli,2.0,36.5,861.0,2.0
1721,Gollarapalya Hosahalli,3.0,60.0,1320.0,2.0
1722,Gollarapalya Hosahalli,3.0,60.0,1345.0,3.0
1723,Gollarapalya Hosahalli,3.0,56.0,1318.0,3.0
1724,Gollarapalya Hosahalli,2.0,50.0,1129.0,2.0
1725,Gottigere,2.0,45.0,967.0,2.0
1726,Gottigere,3.0,82.5,1618.0,1.0
1727,Gottigere,2.0,63.0,1222.0,2.0
1728,Gottigere,2.0,55.0,1600.0,1.0
1729,Gottigere,3.0,65.0,1300.0,4.0
1730,Gottigere,2.0,48.5,1153.0,3.0
1731,Gottigere,2.0,65.0,1460.0,2.0
1732,Gottigere,3.0,70.0,1500.0,2.0
1733,Gottigere,3.0,72.0,1621.0,1.0
1734,Gottigere,1.0,26.0,812.0,2.0
1735,Gottigere,2.0,40.0,990.0,2.0
1736,Gottigere,2.0,63.0,1235.0,3.0
1737,Gottigere,3.0,64.0,1385.0,3.0
1738,Gottigere,2.0,35.0,1000.0,2.0
1739,Gottigere,2.0,35.0,1010.0,2.0
1740,Gottigere,2.0,62.0,1435.0,3.0
1741,Gottigere,2.0,45.0,945.0,3.0
1742,Gottigere,2.0,50.0,1400.0,2.0
1743,Gottigere,2.0,52.0,1230.0,2.0
1744,Gottigere,2.0,50.0,1120.0,3.0
1745,Gottigere,3.0,63.0,1500.0,3.0
1746,Gottigere,2.0,40.0,1200.0,2.0
1747,Gottigere,2.0,61.0,1280.0,2.0
1748,Gottigere,2.0,56.58,1205.0,2.0
1749,Gottigere,2.0,40.0,1170.0,2.0
1750,Gottigere,3.0,132.0,3000.0,2.0
1751,Gottigere,3.0,72.0,1613.0,2.0
1752,Gottigere,2.0,59.0,1245.0,3.0
1753,Gottigere,2.0,50.0,1200.0,1.0
1754,Green Glen Layout,4.0,230.0,3250.0,4.0
1755,Green Glen Layout,2.0,60.0,1075.0,2.0
1756,Green Glen Layout,3.0,115.0,1715.0,3.0
1757,Green Glen Layout,2.0,115.0,1751.0,3.0
1758,Green Glen Layout,3.0,105.0,1530.0,2.0
1759,Green Glen Layout,3.0,105.0,1752.0,2.0
1760,Green Glen Layout,3.0,125.0,1728.0,3.0
1761,Green Glen Layout,3.0,110.0,1645.0,2.0
1762,Green Glen Layout,3.0,100.0,1517.0,2.0
1763,Green Glen Layout,3.0,120.0,1750.0,4.0
1764,Green Glen Layout,3.0,115.0,1751.0,1.0
1765,Green Glen Layout,3.0,135.0,1885.0,2.0
1766,Green Glen Layout,3.0,120.0,1715.0,3.0
1767,Green Glen Layout,2.0,105.0,1623.29,3.0
1768,Green Glen Layout,3.0,115.0,1715.0,2.0
1769,Green Glen Layout,3.0,105.0,1715.0,1.0
1770,Green Glen Layout,3.0,105.0,1600.0,3.0
1771,Green Glen Layout,3.0,125.0,1717.0,3.0
1772,Green Glen Layout,2.0,75.0,1250.0,2.0
1773,Green Glen Layout,3.0,112.0,1715.0,3.0
1774,Gubbalala,2.0,82.0,1470.0,5.0
1775,Gubbalala,3.0,125.0,1745.0,2.0
1776,Gubbalala,3.0,104.0,1745.0,3.0
1777,Gubbalala,3.0,115.0,1745.0,3.0
1778,Gubbalala,3.0,110.0,1745.0,2.0
1779,Gubbalala,3.0,71.0,1650.0,3.0
1780,Gubbalala,2.0,70.0,1205.0,3.0
1781,Gubbalala,2.0,80.0,1435.0,4.0
1782,Gubbalala,2.0,80.0,1475.0,2.0
1783,Gubbalala,4.0,85.0,2000.0,3.0
1784,Gubbalala,2.0,49.5,1100.0,2.0
1785,Gubbalala,2.0,46.0,1060.0,3.0
1786,Gubbalala,3.0,125.0,2000.0,4.0
1787,Gubbalala,5.0,195.0,4000.0,3.0
1788,Gubbalala,3.0,130.0,1745.0,4.0
1789,Gubbalala,2.0,90.0,1285.0,4.0
1790,Gunjur,2.0,43.0,1140.0,2.0
1791,Gunjur,3.0,95.0,2000.0,2.0
1792,Gunjur,2.0,49.11,1140.0,2.0
1793,Gunjur,2.0,44.0,1195.0,2.0
1794,Gunjur,2.0,60.0,1457.0,2.0
1795,Gunjur,2.0,41.0,1080.0,2.0
1796,Gunjur,3.0,70.0,1800.0,4.0
1797,Gunjur,2.0,43.48,1175.0,2.0
1798,Gunjur,3.0,62.63,1362.0,2.0
1799,Gunjur,2.0,51.0,1071.0,3.0
1800,Gunjur,2.0,52.76,1235.0,3.0
1801,Gunjur,3.0,62.63,1362.0,4.0
1802,Gunjur,3.0,62.63,1362.0,3.0
1803,Gunjur,2.0,60.0,1457.0,4.0
1804,HBR Layout,3.0,59.0,675.0,3.0
1805,HBR Layout,2.0,200.0,2800.0,2.0
1806,HBR Layout,4.0,120.0,1200.0,3.0
1807,HBR Layout,2.0,49.0,1004.0,2.0
1808,HBR Layout,3.0,125.0,1783.0,2.0
1809,HBR Layout,2.0,60.0,1089.0,2.0
1810,HBR Layout,5.0,320.0,2400.0,2.0
1811,HBR Layout,4.0,115.0,1200.0,2.0
1812,HBR Layout,2.0,120.0,1200.0,2.0
1813,HBR Layout,3.0,160.0,1832.0,3.0
1814,HRBR Layout,4.0,300.0,2000.0,3.0
1815,HRBR Layout,2.0,95.0,1374.0,2.0
1816,HRBR Layout,2.0,98.0,1440.0,2.0
1817,HRBR Layout,3.0,250.0,2800.0,5.0
1818,HRBR Layout,2.0,75.0,1210.0,2.0
1819,HRBR Layout,2.0,170.0,1200.0,3.0
